text,context,targets,resolution
act fl,,"dischargeFlow (10; rows 573, sites 1) | outsideFlow (5.47723; rows 30, sites 1)",dischargeFlow
act fl sp,,"dischargeFlowSp (10; rows 573, sites 1) | outsideFlowSp (5.47723; rows 30, sites 1) | zoneCoolSp (1; rows 1, sites 1)",dischargeFlowSp
bst pmp en,,"circPumpEnable (1.41421; rows 2, sites 1) | circPump (1; rows 1, sites 1)",circPumpEnable
chl v4 v7 cmd,,"condEnteringIsoValve (1; rows 1, sites 1) | evapEnteringIsoValve (1; rows 1, sites 1)",DROPPED (tie)
chl v4 v7 sts,,"condEnteringIsoValveFb (1; rows 1, sites 1) | evapEnteringIsoValveFb (1; rows 1, sites 1)",DROPPED (tie)
chl v5 v8 cmd,,"condEnteringIsoValve (1; rows 1, sites 1) | evapEnteringIsoValve (1; rows 1, sites 1)",DROPPED (tie)
chl v5 v8 sts,,"condEnteringIsoValveFb (1; rows 1, sites 1) | evapEnteringIsoValveFb (1; rows 1, sites 1)",DROPPED (tie)
chl v6 v9 cmd,,"condEnteringIsoValve (1; rows 1, sites 1) | evapEnteringIsoValve (1; rows 1, sites 1)",DROPPED (tie)
chl v6 v9 sts,,"condEnteringIsoValveFb (1; rows 1, sites 1) | evapEnteringIsoValveFb (1; rows 1, sites 1)",DROPPED (tie)
ch ena twr,,"chiller (1.41421; rows 2, sites 1) | twrEnable (1; rows 1, sites 1)",chiller
chiller capacity,,"chillerLoad (1.73205; rows 3, sites 1) | chillerSpeedFb (1.41421; rows 2, sites 1)",chillerLoad
cond sat temp,,"compDischargeSatTemp (1.41421; rows 2, sites 1) | compLiquidLineTemp (1; rows 1, sites 1)",compDischargeSatTemp
curr clg set p,,"zoneCoolSp (10; rows 207, sites 1) | effectiveCoolSp (9.59166; rows 92, sites 1)",zoneCoolSp
curr htg set p,,"zoneHeatSp (10; rows 207, sites 1) | effectiveHeatSp (9.59166; rows 92, sites 1)",zoneHeatSp
dc f1 dc fan sts,,"dischargeFanSpeed (1.41421; rows 2, sites 1) | dischargeFanStatus (1; rows 1, sites 1)",dischargeFanSpeed
dtwr tmp,,"waterCoilLeavingTemp (1; rows 1, sites 1) | waterLeavingTemp (1; rows 1, sites 1)",DROPPED (tie)
econ s,,"econMode (5.38516; rows 29, sites 1) | econEnable (2.64575; rows 7, sites 1)",econMode
ecn mode,,"econMode (1.41421; rows 2, sites 1) | econEnable (1; rows 1, sites 1)",econMode
evap pressure,,"compEnteringPressure (1.41421; rows 2, sites 1) | compSuctionPressure (1; rows 1, sites 1)",compEnteringPressure
evap sat temp,,"compEnteringTemp (1.41421; rows 2, sites 1) | compSuctionSatTemp (1; rows 1, sites 1)",compEnteringTemp
fan cmd act,,"dischargeFan (10; rows 595, sites 1) | exhaustFan (2.64575; rows 7, sites 1)",dischargeFan
hf s,,"exhaustFanStatus (1; rows 1, sites 1) | outsideFanStatus (1; rows 1, sites 1)",DROPPED (tie)
hxr stm vlv pos,,"heatingValveOneThird (3.4641; rows 12, sites 1) | heatingValveTwoThird (3.4641; rows 12, sites 1)",DROPPED (tie)
hx free clg vlv cmd,,"priEnteringIsoValve (1; rows 1, sites 1) | secLeavingIsoValve (1; rows 1, sites 1)",DROPPED (tie)
hx mech clg vlv cmd,,"condEnteringIsoValve (1; rows 1, sites 1) | evapLeavingIsoValve (1; rows 1, sites 1)",DROPPED (tie)
inlet heat max vol sp,,"dischargeFlowHeatMaxSp (10; rows 317, sites 1) | dischargeFlowMaxSp (4.12311; rows 17, sites 1)",dischargeFlowHeatMaxSp
inlet heat min vol sp,,"dischargeFlowHeatMinSp (10; rows 317, sites 1) | dischargeFlowMinSp (4.12311; rows 17, sites 1)",dischargeFlowHeatMinSp
inlet tmp,,"priEnteringTemp (1.73205; rows 3, sites 1) | inletTemp (0.5; rows 0, sites 0)",priEnteringTemp
mecon c,,"outsideIsoDamper (3.31662; rows 11, sites 1) | outsideDamper (1; rows 1, sites 1) | outsideIsoDamperFb (1; rows 1, sites 1)",outsideIsoDamper
moad o,,"minOutsideDamper (5.65685; rows 32, sites 1) | outsideDamper (1; rows 1, sites 1)",minOutsideDamper
mphd c,,"minOutsideDamperFb (3; rows 9, sites 1) | minOutsideDamper (1.41421; rows 2, sites 1) | outsideIsoDamper (1.41421; rows 2, sites 1) | outsideDamper (1; rows 1, sites 1)",minOutsideDamperFb
max flow sp,,"dischargeFlowMaxSp (7.07107; rows 50, sites 1) | outsideFlowMaxSp (5.47723; rows 30, sites 1)",dischargeFlowMaxSp
max sa st prs sp,,"dischargeFlowMaxSp (3; rows 9, sites 1) | dischargePressureMaxSp (1.41421; rows 2, sites 1)",dischargeFlowMaxSp
min osa flow spt,,"minOutsideFlow (3; rows 9, sites 1) | minOutsideFlowSp (1; rows 1, sites 1)",minOutsideFlow
min sa st prs sp,,"dischargeFlowMinSp (3; rows 9, sites 1) | dischargePressureMinSp (1.41421; rows 2, sites 1)",dischargeFlowMinSp
oad c,,"outsideDamper (1; rows 1, sites 1) | outsideIsoDamper (1; rows 1, sites 1)",DROPPED (tie)
occ sp,,"zoneTempSp (10; rows 207, sites 1) | OccSp (8.18535; rows 67, sites 1)",zoneTempSp
output speed,,"condPumpSpeed (1.73205; rows 3, sites 1) | secPumpSpeed (1.73205; rows 3, sites 1)",DROPPED (tie)
pht tmp,,"preHeatingCoilLeavingTemp (5.19615; rows 27, sites 1) | preHeatingCoilDischargeTemp (1.73205; rows 3, sites 1)",preHeatingCoilLeavingTemp
ra tmp virt,,"returnTemp (5.09902; rows 26, sites 1) | retunTemp (3; rows 9, sites 1)",returnTemp
rlfd o,,"reliefDamper (2.82843; rows 8, sites 1) | reliefDamperFb (1.41421; rows 2, sites 1)",reliefDamper
ret dpr pos,,"returnDamper (2.82843; rows 8, sites 1) | returnDamperFb (1; rows 1, sites 1)",returnDamper
running,,"condPump (1.73205; rows 3, sites 1) | secPump (1.73205; rows 3, sites 1)",DROPPED (tie)
s sp,,"dischargeFlow (1; rows 1, sites 1) | dischargePressure (1; rows 1, sites 1)",DROPPED (tie)
sa st sp,,"dischargePressureSp (2.44949; rows 6, sites 1) | dischargePressure (2; rows 4, sites 1)",dischargePressureSp
sf high cmd,,"dischargeFanSpeedMaxSp (4.47214; rows 20, sites 1) | dischargeFanSpeedStage (3.87298; rows 15, sites 1)",dischargeFanSpeedMaxSp
sf low cmd,,"dischargeFanSpeedMinSp (4.47214; rows 20, sites 1) | dischargeFanSpeedStage (3.87298; rows 15, sites 1)",dischargeFanSpeedMinSp
sf sts virt,,"dischargeFanStatus (4.47214; rows 20, sites 1) | dischageFanStatus (3; rows 9, sites 1)",dischargeFanStatus
uocc htg sp,,"dischargeFlowUnoccHeatSp (10; rows 317, sites 1) | unoccupiedHeatSp (4.12311; rows 17, sites 1)",dischargeFlowUnoccHeatSp
ct ent flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",DROPPED (tie)
ct ent flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
ct ent flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",DROPPED (tie)
ct enter flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",DROPPED (tie)
ct enter flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
ct enter flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",DROPPED (tie)
ct entering flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
ct entering flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
ct entering flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
ct entr flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",DROPPED (tie)
ct entr flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
ct entr flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",DROPPED (tie)
tower ent flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower ent flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower ent flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower enter flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower enter flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower enter flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower entering flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower entering flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower entering flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower entr flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower entr flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
tower entr flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr ent flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr ent flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr ent flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr enter flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr enter flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr enter flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr entering flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr entering flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr entering flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr entr flo,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr entr flow,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
twr entr flw,,"twrEnteringFlow (0.5; rows 0, sites 0) | twrLeavingFlow (0.5; rows 0, sites 0)",twrEnteringFlow
